"debate_title","motion_text"
"EXITING THE EUROPEAN UNION (CONSUMER PROTECTION)","I beg to move, That the draft Geo-Blocking Regulation (Revocation) (EU Exit) Regulations 2019, which were laid before this House on 14 March, be approved."
"BUSINESS OF THE HOUSE","I beg to move, That— (1) At today’s sitting- (a) the order of the House of 1 April (Business of the House) shall apply as if, at the end of paragraph (2)(a), there were inserted “and then to proceedings on the European Union (Withdrawal) (No. 5) Bill”; (b) any proceedings governed by that order as amended or this order may be proceeded with until any hour, though opposed, and shall not be interrupted; (c) immediately upon the conclusion of proceedings under the order of 1 April, the Speaker shall call a Member to move the motion that the European Union (Withdrawal) (No.5) Bill be now read a second time; (d) the Speaker may not propose the question on the previous question, and may not put any question under Standing Order No. 36 (Closure of debate) or Standing Order No. 163 (Motion to sit in private); (e) any proceedings interrupted or superseded by this order may be resumed or (as the case may be) entered upon and proceeded with after the moment of interruption."
"EUROPEAN UNION (WITHDRAWAL)  (NO. 5) BILL","I beg to move, That the Bill be now read a Second time."
"Duties in connection with Article 50 extension","I beg to move, That this House agrees with Lords amendment 1."
"Section 1 of the European Union (Withdrawal) Act 2019","I beg to move, That this House agrees for the purposes of section 1 of the European Union (Withdrawal) Act 2019 to the Prime Minister seeking an extension of the period specified in Article 50(3) of the Treaty on European Union to a period ending on 30 June 2019."
"Continuous At-Sea Deterrent","I beg to move, That this House has considered the 50th anniversary of the continuous at sea deterrent."
"HEALTH","I beg to move, That an humble Address be presented to Her Majesty, that she will be graciously pleased to give directions that the following papers be laid before Parliament: any briefing papers or analysis provided to the Secretary of State for Health and Social Care or his Ministers since 9 July 2018 including impact assessments of public health spending reductions and any assessments made on falling life expectancy and the minutes of all discussions between the Department of Health and Social Care and NHS England on funding pay risks for Agenda for Change staff working on public health services commissioned by local authorities."
"REHABILITATION OF OFFENDERS","I beg to move, That the draft Rehabilitation of Offenders Act (Exceptions) Order 1975 (Amendment) (England and Wales) Order 2019, which was laid before this House on 1 April, be approved."
"Progress reports","I beg to move manuscript amendment (a) to Lords amendment 1."
"EUROPEAN UNION (WITHDRAWAL)","I beg to move, That this House has considered the matter of the need to take all necessary steps to ensure that the United Kingdom does not leave the European Union on 31 October 2019 without a withdrawal agreement and accordingly makes provision as set out in this order: (1) On Wednesday 4 September 2019 (a) Standing Order No. 14(1) (which provides that government business shall have precedence at every sitting save as provided in that order) shall not apply; (b) any proceedings governed by this order may be proceeded with until any hour, though opposed, and shall not be interrupted; (c) the Speaker may not propose the question on the previous question, and may not put any question under Standing Order No. 36 (Closure of debate) or Standing Order No. 163 (Motion to sit in private); (d) at 3.00 pm, the Speaker shall interrupt any business prior to the business governed by this order and call a Member to present the European Union (Withdrawal) (No. 6) Bill of which notice of presentation has been given and immediately thereafter (notwithstanding the practice of the House) call a Member to move the motion that the European Union (Withdrawal) (No. 6) Bill be now read a second time as if it were an order of the House; (e) in respect of that Bill, notices of Amendments, new Clauses and new Schedules to be moved in Committee may be accepted by the Clerks at the Table before the Bill has been read a second time."
